week;rank;rise;rise_nb;name;artist;last_week;peak;week_chart
"
                January 19, 2019
                ";27;Rising;+1;Beautiful;Bazzi Featuring Camila Cabello;28;27;23
"
                January 19, 2019
                ";28;Failing;-1;Love Lies;Khalid & Normani;27;9;47
"
                January 19, 2019
                ";29;Failing;-4;Natural;Imagine Dragons;25;13;25
"
                January 19, 2019
                ";30;Failing;-4;I Like It;Cardi B, Bad Bunny & J Balvin;26;1;40
"
                January 19, 2019
                ";31;Rising;+2;Close To Me;Ellie Goulding X Diplo Featuring Swae Lee;33;31;8
"
                January 19, 2019
                ";32;Failing;-1;She Got The Best Of Me ;Luke Combs;31;31;22
"
                January 19, 2019
                ";33;Rising;+3;A Lot;21 Savage;36;33;3
"
                January 19, 2019
                ";34;Steady;-;You Say;Lauren Daigle;34;34;26
"
                January 19, 2019
                ";35;New;-;Undecided;Chris Brown;-;35;1
"
                January 19, 2019
                ";36;Failing;-1;Uproar;Lil Wayne;35;7;15
"
                January 19, 2019
                ";37;Rising;+4;Sweet But Psycho;Ava Max;41;37;4
"
                January 19, 2019
                ";38;Failing;-6;Baby Shark;Pinkfong;32;32;2
"
                January 19, 2019
                ";39;Failing;-2;Best Shot;Jimmie Allen;37;37;17
"
                January 19, 2019
                ";40;Failing;-2;Swervin;A Boogie Wit da Hoodie Featuring 6ix9ine;38;38;3
"
                January 19, 2019
                ";41;Rising;+7;Beautiful Crazy;Luke Combs;48;41;9
"
                January 19, 2019
                ";42;Failing;-2;Be Alright;Dean Lewis;40;40;11
"
                January 19, 2019
                ";43;Rising;+6;Nothing Breaks Like A Heart;Mark Ronson Featuring Miley Cyrus;49;43;6
"
                January 19, 2019
                ";44;Rising;+3;Good Girl;Dustin Lynch;47;44;9
"
                January 19, 2019
                ";45;Failing;-3;Sixteen;Thomas Rhett;42;42;9
"
                January 19, 2019
                ";46;New;-;Crushed Up;Future;-;46;1
"
                January 19, 2019
                ";47;Failing;-2;Burning Man;Dierks Bentley Featuring Brothers Osborne;45;45;12
"
                January 19, 2019
                ";48;Failing;-4;Backin' It Up;Pardison Fontaine Featuring Cardi B;44;44;13
"
                January 19, 2019
                ";49;Rising;+5;Look Back At It;A Boogie Wit da Hoodie;54;49;5
"
                January 19, 2019
                ";50;Rising;+2;Girl Like You;Jason Aldean;52;50;7
"
                January 19, 2019
                ";51;Failing;-1;This Feeling;The Chainsmokers Featuring Kelsea Ballerini;50;50;13
"
                January 19, 2019
                ";52;Failing;-1;Consequences;Camila Cabello;51;51;10
"
                January 19, 2019
                ";53;Rising;+4;This Is It;Scotty McCreery;57;53;5
"
                January 19, 2019
                ";54;Rising;+2;Armed And Dangerous;Juice WRLD;56;44;9
"
                January 19, 2019
                ";55;Steady;-;Arms Around You;XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee;55;28;11
"
                January 19, 2019
                ";56;Rising;+2;Calling My Spirit;Kodak Black;58;46;6
"
                January 19, 2019
                ";57;Failing;-14;Talk To Me;Tory Lanez & Rich The Kid;43;43;11
"
                January 19, 2019
                ";58;Rising;+1;You;Jacquees;59;58;7
"
                January 19, 2019
                ";59;Rising;+2;Startender;A Boogie Wit da Hoodie Featuring Offset & Tyga;61;59;3
"
                January 19, 2019
                ";60;Failing;-7;Last Shot;Kip Moore;53;53;8
"
                January 19, 2019
                ";61;Failing;-1;No Stylist;French Montana Featuring Drake;60;47;16
"
                January 19, 2019
                ";62;Steady;-;Electricity;Silk City x Dua Lipa;62;62;8
"
                January 19, 2019
                ";63;Rising;+3;Envy Me;Calboy;66;63;4
"
                January 19, 2019
                ";64;Steady;-;Ella Quiere Beber;Anuel AA & Romeo Santos;64;64;10
"
                January 19, 2019
                ";65;Rising;+8;Lovely;Billie Eilish & Khalid;73;65;11
"
                January 19, 2019
                ";66;Rising;+6;Pure Cocaine;Lil Baby;72;46;5
"
                January 19, 2019
                ";67;Rising;+2;Millionaire;Chris Stapleton;69;67;5
"
                January 19, 2019
                ";68;Steady;-;When The Party's Over;Billie Eilish;68;52;12
"
                January 19, 2019
                ";69;Rising;+6;Take It From Me;Jordan Davis;75;69;2
"
                January 19, 2019
                ";70;Failing;-5;Can't Leave Without It;21 Savage;65;58;3
"
                January 19, 2019
                ";71;Rising;+6;Yosemite;Travis Scott;77;25;12
"
                January 19, 2019
                ";72;Rising;+2;Fine China;Future & Juice WRLD;74;26;12
"
                January 19, 2019
                ";73;Failing;-10;Imagine;Ariana Grande;63;24;4
"
                January 19, 2019
                ";74;Rising;+2;What Makes You Country;Luke Bryan;76;74;2
"
                January 19, 2019
                ";75;Rising;+5;Down To The Honkytonk;Jake Owen;80;75;2
"
                January 19, 2019
                ";76;Rising;+10;Ruin My Life;Zara Larsson;86;76;2
"
                January 19, 2019
                ";77;Failing;-7;BAD!;XXXTENTACION;70;16;9
"
                January 19, 2019
                ";78;Failing;-11;Smile (Living My Best Life);Lil' Duval Featuring Snoop Dogg & Ball Greezy;67;56;19
"
                January 19, 2019
                ";79;Steady;-;Blue Tacoma;Russell Dickerson;79;52;17
"
                January 19, 2019
                ";80;Rising;+7;Body;Loud Luxury Featuring Brando;87;80;2
"
                January 19, 2019
                ";81;New;-;Butterfly Doors;Lil Pump;-;81;1
"
                January 19, 2019
                ";82;Steady;-;Love Someone;Lukas Graham;82;82;2
"
                January 19, 2019
                ";83;Re-Enter;-;Space Cadet;Metro Boomin Featuring Gunna;-;51;5
"
                January 19, 2019
                ";84;Failing;-13;Lost In Japan;Shawn Mendes X Zedd;71;48;16
"
                January 19, 2019
                ";85;Failing;-2;Love Wins;Carrie Underwood;83;83;2
"
                January 19, 2019
                ";86;Failing;-1;Nuketown;Ski Mask The Slump God Featuring Juice WRLD;85;63;5
"
                January 19, 2019
                ";87;New;-;Valuable Pain;YoungBoy Never Broke Again;-;87;1
"
                January 19, 2019
                ";88;Rising;+3;Here Tonight;Brett Young;91;88;2
"
                January 19, 2019
                ";89;Failing;-8;Close Friends;Lil Baby;81;28;13
